,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
821,AUT,Austria,26Feb,2,2,0,0,0.222,0.222,0.0,0.0,321.0,103.0,0.036000000000000004,0.011000000000000001,tests performed
822,AUT,Austria,27Feb,2,0,0,0,0.222,0.0,0.0,0.0,447.0,126.0,0.05,0.013999999999999999,tests performed
823,AUT,Austria,28Feb,5,3,0,0,0.555,0.33299999999999996,0.0,0.0,763.0,316.0,0.085,0.035,tests performed
824,AUT,Austria,29Feb,7,2,0,0,0.777,0.222,0.0,0.0,1649.0,886.0,0.183,0.098,tests performed
825,AUT,Austria,01Mar,10,3,0,0,1.11,0.33299999999999996,0.0,0.0,,,,,
826,AUT,Austria,02Mar,14,4,0,0,1.554,0.444,0.0,0.0,,,,,
827,AUT,Austria,03Mar,18,4,0,0,1.999,0.444,0.0,0.0,2683.0,,0.298,,tests performed
828,AUT,Austria,04Mar,24,6,0,0,2.665,0.6659999999999999,0.0,0.0,3138.0,455.0,0.348,0.051,tests performed
829,AUT,Austria,05Mar,29,5,0,0,3.22,0.555,0.0,0.0,3711.0,573.0,0.41200000000000003,0.064,tests performed
830,AUT,Austria,06Mar,41,12,0,0,4.552,1.3319999999999999,0.0,0.0,4000.0,289.0,0.444,0.032,tests performed
831,AUT,Austria,07Mar,74,33,0,0,8.216000000000001,3.6639999999999997,0.0,0.0,4308.0,308.0,0.478,0.034,tests performed
832,AUT,Austria,08Mar,99,25,0,0,10.992,2.7760000000000002,0.0,0.0,4509.0,201.0,0.501,0.022000000000000002,tests performed
833,AUT,Austria,09Mar,102,3,0,0,11.325,0.33299999999999996,0.0,0.0,4734.0,225.0,0.526,0.025,tests performed
834,AUT,Austria,10Mar,131,29,0,0,14.545,3.22,0.0,0.0,5026.0,292.0,0.5579999999999999,0.032,tests performed
835,AUT,Austria,11Mar,182,51,0,0,20.208,5.662999999999999,0.0,0.0,5362.0,336.0,0.595,0.037000000000000005,tests performed
836,AUT,Austria,12Mar,246,64,0,0,27.314,7.106,0.0,0.0,5869.0,507.0,0.652,0.055999999999999994,tests performed
837,AUT,Austria,13Mar,361,115,1,1,40.083,12.769,0.111,0.111,6582.0,713.0,0.731,0.079,tests performed
838,AUT,Austria,14Mar,504,143,1,0,55.96,15.878,0.111,0.0,7467.0,885.0,0.8290000000000001,0.098,tests performed
839,AUT,Austria,15Mar,655,151,1,0,72.726,16.766,0.111,0.0,8167.0,700.0,0.907,0.078,tests performed
840,AUT,Austria,16Mar,860,205,1,0,95.488,22.761999999999997,0.111,0.0,8490.0,323.0,0.943,0.036000000000000004,tests performed
841,AUT,Austria,17Mar,1016,156,3,2,112.809,17.320999999999998,0.33299999999999996,0.222,10278.0,1788.0,1.141,0.19899999999999998,tests performed
842,AUT,Austria,18Mar,1332,316,3,0,147.895,35.086,0.33299999999999996,0.0,11977.0,1699.0,1.33,0.18899999999999997,tests performed
843,AUT,Austria,19Mar,1646,314,4,1,182.75900000000001,34.864000000000004,0.444,0.111,13724.0,1747.0,1.524,0.19399999999999998,tests performed
844,AUT,Austria,20Mar,2196,550,6,2,243.827,61.068000000000005,0.6659999999999999,0.222,15613.0,1889.0,1.734,0.21,tests performed
845,AUT,Austria,21Mar,2649,453,6,0,294.124,50.298,0.6659999999999999,0.0,18545.0,2932.0,2.059,0.326,tests performed
846,AUT,Austria,22Mar,3024,375,8,2,335.76099999999997,41.637,0.888,0.222,21368.0,2823.0,2.373,0.313,tests performed
847,AUT,Austria,23Mar,3631,607,16,8,403.158,67.39699999999999,1.777,0.888,23429.0,2061.0,2.6010000000000004,0.22899999999999998,tests performed
848,AUT,Austria,24Mar,4486,855,25,9,498.09,94.932,2.7760000000000002,0.9990000000000001,28391.0,4962.0,3.1519999999999997,0.551,tests performed
849,AUT,Austria,25Mar,5282,796,30,5,586.472,88.382,3.3310000000000004,0.555,32407.0,4016.0,3.5980000000000003,0.446,tests performed
850,AUT,Austria,26Mar,5888,606,34,4,653.757,67.285,3.775,0.444,35995.0,3588.0,3.997,0.39799999999999996,tests performed
851,AUT,Austria,27Mar,7029,1141,52,18,780.445,126.68799999999999,5.774,1.999,39552.0,3557.0,4.3919999999999995,0.395,tests performed
852,AUT,Austria,28Mar,7697,668,68,16,854.6139999999999,74.169,7.55,1.777,42750.0,3198.0,4.747,0.355,tests performed
853,AUT,Austria,29Mar,8291,594,68,0,920.568,65.953,7.55,0.0,46441.0,3691.0,5.156000000000001,0.41,tests performed
854,AUT,Austria,30Mar,8813,522,86,18,978.5260000000001,57.958999999999996,9.549,1.999,49455.0,3014.0,5.4910000000000005,0.335,tests performed
