,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
4536,FRA,France,25Jan,3,3,0,0,0.046,0.046,0.0,0.0,,,,,
4537,FRA,France,26Jan,3,0,0,0,0.046,0.0,0.0,0.0,,,,,
4538,FRA,France,27Jan,3,0,0,0,0.046,0.0,0.0,0.0,,,,,
4539,FRA,France,28Jan,3,0,0,0,0.046,0.0,0.0,0.0,,,,,
4540,FRA,France,29Jan,4,1,0,0,0.061,0.015,0.0,0.0,,,,,
4541,FRA,France,30Jan,5,1,0,0,0.077,0.015,0.0,0.0,,,,,
4542,FRA,France,31Jan,6,1,0,0,0.092,0.015,0.0,0.0,,,,,
4543,FRA,France,01Feb,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4544,FRA,France,02Feb,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4545,FRA,France,03Feb,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4546,FRA,France,04Feb,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4547,FRA,France,05Feb,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4548,FRA,France,06Feb,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4549,FRA,France,07Feb,6,0,0,0,0.092,0.0,0.0,0.0,,,,,
4550,FRA,France,08Feb,11,5,0,0,0.16899999999999998,0.077,0.0,0.0,,,,,
4551,FRA,France,09Feb,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4552,FRA,France,10Feb,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4553,FRA,France,11Feb,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4554,FRA,France,12Feb,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4555,FRA,France,13Feb,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4556,FRA,France,14Feb,11,0,0,0,0.16899999999999998,0.0,0.0,0.0,,,,,
4557,FRA,France,15Feb,11,0,1,1,0.16899999999999998,0.0,0.015,0.015,,,,,
4558,FRA,France,16Feb,11,0,1,0,0.16899999999999998,0.0,0.015,0.0,,,,,
4559,FRA,France,17Feb,12,1,1,0,0.184,0.015,0.015,0.0,,,,,
4560,FRA,France,18Feb,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4561,FRA,France,19Feb,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4562,FRA,France,20Feb,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4563,FRA,France,21Feb,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4564,FRA,France,22Feb,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4565,FRA,France,23Feb,12,0,1,0,0.184,0.0,0.015,0.0,,,,,
4566,FRA,France,24Feb,12,0,1,0,0.184,0.0,0.015,0.0,31.0,,0.0,,tests performed
4567,FRA,France,25Feb,12,0,1,0,0.184,0.0,0.015,0.0,146.0,115.0,0.002,0.002,tests performed
4568,FRA,France,26Feb,14,2,1,0,0.214,0.031,0.015,0.0,412.0,266.0,0.006,0.004,tests performed
4569,FRA,France,27Feb,17,3,2,1,0.26,0.046,0.031,0.015,851.0,439.0,0.013000000000000001,0.006999999999999999,tests performed
4570,FRA,France,28Feb,38,21,2,0,0.5820000000000001,0.322,0.031,0.0,1316.0,465.0,0.02,0.006999999999999999,tests performed
4571,FRA,France,29Feb,57,19,2,0,0.873,0.29100000000000004,0.031,0.0,1902.0,586.0,0.028999999999999998,0.009000000000000001,tests performed
4572,FRA,France,01Mar,100,43,2,0,1.5319999999999998,0.659,0.031,0.0,2451.0,549.0,0.038,0.008,tests performed
4573,FRA,France,02Mar,130,30,2,0,1.992,0.46,0.031,0.0,2887.0,436.0,0.044000000000000004,0.006999999999999999,tests performed
4574,FRA,France,03Mar,178,48,3,1,2.727,0.735,0.046,0.015,3594.0,707.0,0.055,0.011000000000000001,tests performed
4575,FRA,France,04Mar,212,34,4,1,3.248,0.521,0.061,0.015,4803.0,1209.0,0.07400000000000001,0.019,tests performed
4576,FRA,France,05Mar,285,73,4,0,4.3660000000000005,1.1179999999999999,0.061,0.0,6046.0,1243.0,0.09300000000000001,0.019,tests performed
4577,FRA,France,06Mar,423,138,7,3,6.48,2.114,0.107,0.046,7695.0,1649.0,0.11800000000000001,0.025,tests performed
4578,FRA,France,07Mar,613,190,9,2,9.391,2.911,0.138,0.031,9495.0,1800.0,0.145,0.027999999999999997,tests performed
4579,FRA,France,08Mar,716,103,10,1,10.969000000000001,1.578,0.153,0.015,11071.0,1576.0,0.17,0.024,tests performed
4580,FRA,France,09Mar,1126,410,19,9,17.25,6.281000000000001,0.29100000000000004,0.138,12667.0,1596.0,0.19399999999999998,0.024,tests performed
4581,FRA,France,10Mar,1412,286,30,11,21.631999999999998,4.382,0.46,0.16899999999999998,15018.0,2351.0,0.23,0.036000000000000004,tests performed
4582,FRA,France,11Mar,1784,372,33,3,27.331,5.699,0.506,0.046,,,,,
4583,FRA,France,12Mar,2281,497,48,15,34.945,7.614,0.735,0.23,,,,,
4584,FRA,France,13Mar,2876,595,61,13,44.06100000000001,9.115,0.935,0.19899999999999998,,,,,
4585,FRA,France,14Mar,3661,785,79,18,56.086999999999996,12.026,1.21,0.276,,,,,
4586,FRA,France,15Mar,4499,838,91,12,68.925,12.838,1.3940000000000001,0.184,36747.0,,0.563,,tests performed
4587,FRA,France,16Mar,5423,924,127,36,83.081,14.155999999999999,1.946,0.552,,,,,
4588,FRA,France,17Mar,6633,1210,148,21,101.619,18.537,2.267,0.322,,,,,
4589,FRA,France,18Mar,7730,1097,175,27,118.425,16.805999999999997,2.681,0.414,,,,,
4590,FRA,France,19Mar,9134,1404,244,69,139.934,21.509,3.738,1.057,,,,,
4591,FRA,France,20Mar,10995,1861,372,128,168.445,28.511,5.699,1.9609999999999999,,,,,
4592,FRA,France,21Mar,12612,1617,450,78,193.218,24.773000000000003,6.894,1.195,,,,,
4593,FRA,France,22Mar,14459,1847,562,112,221.514,28.296,8.61,1.716,,,,,
4594,FRA,France,23Mar,16018,1559,674,112,245.398,23.884,10.325999999999999,1.716,,,,,
4595,FRA,France,24Mar,19856,3838,860,186,304.197,58.799,13.175,2.85,107546.0,,1.6480000000000001,,tests performed
4596,FRA,France,25Mar,22302,2446,1100,240,341.67,37.473,16.852,3.677,,,,,
4597,FRA,France,26Mar,25233,2931,1331,231,386.57300000000004,44.903,20.391,3.5389999999999997,,,,,
4598,FRA,France,27Mar,29155,3922,1696,365,446.659,60.086000000000006,25.983,5.5920000000000005,,,,,
4599,FRA,France,28Mar,32964,3809,1995,299,505.01300000000003,58.354,30.564,4.581,,,,,
4600,FRA,France,29Mar,37575,4611,2314,319,575.655,70.641,35.451,4.887,,,,,
4601,FRA,France,30Mar,40174,2599,2606,292,615.472,39.817,39.924,4.473,,,,,
4602,FRA,France,31Mar,44550,4376,3024,418,682.513,67.041,46.328,6.404,224254.0,,3.4360000000000004,,tests performed
4603,FRA,France,01Apr,52128,7578,3523,499,798.6089999999999,116.096,53.973,7.645,,,,,
4604,FRA,France,02Apr,56989,4861,4032,509,873.08,74.471,61.771,7.797999999999999,,,,,
4605,FRA,France,03Apr,59105,2116,4503,471,905.497,32.417,68.987,7.216,,,,,
4606,FRA,France,04Apr,64338,5233,6507,2004,985.668,80.17,99.68799999999999,30.701999999999998,,,,,
4607,FRA,France,05Apr,68605,4267,7560,1053,1051.039,65.37100000000001,115.82,16.132,,,,,
4608,FRA,France,06Apr,70478,1873,8078,518,1079.734,28.695,123.756,7.936,,,,,
