,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
3241,DEU,Germany,28Jan,1,1,0,0,0.012,0.012,0.0,0.0,,,,,
3242,DEU,Germany,29Jan,4,3,0,0,0.048,0.036000000000000004,0.0,0.0,,,,,
3243,DEU,Germany,30Jan,4,0,0,0,0.048,0.0,0.0,0.0,,,,,
3244,DEU,Germany,31Jan,5,1,0,0,0.06,0.012,0.0,0.0,,,,,
3245,DEU,Germany,01Feb,7,2,0,0,0.084,0.024,0.0,0.0,,,,,
3246,DEU,Germany,02Feb,8,1,0,0,0.095,0.012,0.0,0.0,,,,,
3247,DEU,Germany,03Feb,9,1,0,0,0.107,0.012,0.0,0.0,,,,,
3248,DEU,Germany,04Feb,11,2,0,0,0.131,0.024,0.0,0.0,,,,,
3249,DEU,Germany,05Feb,11,0,0,0,0.131,0.0,0.0,0.0,,,,,
3250,DEU,Germany,06Feb,11,0,0,0,0.131,0.0,0.0,0.0,,,,,
3251,DEU,Germany,07Feb,12,1,0,0,0.14300000000000002,0.012,0.0,0.0,,,,,
3252,DEU,Germany,08Feb,13,1,0,0,0.155,0.012,0.0,0.0,,,,,
3253,DEU,Germany,09Feb,13,0,0,0,0.155,0.0,0.0,0.0,,,,,
3254,DEU,Germany,10Feb,13,0,0,0,0.155,0.0,0.0,0.0,,,,,
3255,DEU,Germany,11Feb,13,0,0,0,0.155,0.0,0.0,0.0,,,,,
3256,DEU,Germany,12Feb,15,2,0,0,0.179,0.024,0.0,0.0,,,,,
3257,DEU,Germany,13Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3258,DEU,Germany,14Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3259,DEU,Germany,15Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3260,DEU,Germany,16Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3261,DEU,Germany,17Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3262,DEU,Germany,18Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3263,DEU,Germany,19Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3264,DEU,Germany,20Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3265,DEU,Germany,21Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3266,DEU,Germany,22Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3267,DEU,Germany,23Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3268,DEU,Germany,24Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3269,DEU,Germany,25Feb,15,0,0,0,0.179,0.0,0.0,0.0,,,,,
3270,DEU,Germany,26Feb,17,2,0,0,0.203,0.024,0.0,0.0,,,,,
3271,DEU,Germany,27Feb,21,4,0,0,0.251,0.048,0.0,0.0,,,,,
3272,DEU,Germany,28Feb,47,26,0,0,0.561,0.31,0.0,0.0,,,,,
3273,DEU,Germany,29Feb,57,10,0,0,0.68,0.11900000000000001,0.0,0.0,,,,,
3274,DEU,Germany,01Mar,111,54,0,0,1.325,0.645,0.0,0.0,,,,,
3275,DEU,Germany,02Mar,129,18,0,0,1.54,0.215,0.0,0.0,,,,,
3276,DEU,Germany,03Mar,157,28,0,0,1.874,0.33399999999999996,0.0,0.0,,,,,
3277,DEU,Germany,04Mar,196,39,0,0,2.339,0.465,0.0,0.0,,,,,
3278,DEU,Germany,05Mar,262,66,0,0,3.127,0.7879999999999999,0.0,0.0,,,,,
3279,DEU,Germany,06Mar,400,138,0,0,4.774,1.6469999999999998,0.0,0.0,,,,,
3280,DEU,Germany,07Mar,684,284,0,0,8.164,3.39,0.0,0.0,,,,,
3281,DEU,Germany,08Mar,847,163,0,0,10.109,1.945,0.0,0.0,124716.0,,1.489,,tests performed
3282,DEU,Germany,09Mar,902,55,0,0,10.765999999999998,0.6559999999999999,0.0,0.0,,,,,
3283,DEU,Germany,10Mar,1139,237,2,2,13.594000000000001,2.8289999999999997,0.024,0.024,,,,,
3284,DEU,Germany,11Mar,1296,157,2,0,15.468,1.874,0.024,0.0,,,,,
