,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units
6766,ITA,Italy,31Jan,3,3,0,0,0.05,0.05,0.0,0.0,,,,,
6767,ITA,Italy,01Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6768,ITA,Italy,02Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6769,ITA,Italy,03Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6770,ITA,Italy,04Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6771,ITA,Italy,05Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6772,ITA,Italy,06Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6773,ITA,Italy,07Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6774,ITA,Italy,08Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6775,ITA,Italy,09Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6776,ITA,Italy,10Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6777,ITA,Italy,11Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6778,ITA,Italy,12Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6779,ITA,Italy,13Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6780,ITA,Italy,14Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6781,ITA,Italy,15Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6782,ITA,Italy,16Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6783,ITA,Italy,17Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6784,ITA,Italy,18Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6785,ITA,Italy,19Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6786,ITA,Italy,20Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6787,ITA,Italy,21Feb,3,0,0,0,0.05,0.0,0.0,0.0,,,,,
6788,ITA,Italy,22Feb,17,14,0,0,0.281,0.23199999999999998,0.0,0.0,,,,,
6789,ITA,Italy,23Feb,79,62,2,2,1.307,1.025,0.033,0.033,,,,,
6790,ITA,Italy,24Feb,132,53,2,0,2.1830000000000003,0.877,0.033,0.0,4324.0,,0.07200000000000001,,tests performed
6791,ITA,Italy,25Feb,229,97,6,4,3.7880000000000003,1.604,0.099,0.066,8623.0,4299.0,0.14300000000000002,0.071,tests performed
6792,ITA,Italy,26Feb,322,93,11,5,5.3260000000000005,1.538,0.182,0.083,9587.0,964.0,0.159,0.016,tests performed
6793,ITA,Italy,27Feb,400,78,12,1,6.6160000000000005,1.29,0.198,0.017,12014.0,2427.0,0.19899999999999998,0.04,tests performed
6794,ITA,Italy,28Feb,650,250,17,5,10.751,4.135,0.281,0.083,15695.0,3681.0,0.26,0.061,tests performed
6795,ITA,Italy,29Feb,888,238,21,4,14.687000000000001,3.9360000000000004,0.34700000000000003,0.066,18661.0,2966.0,0.309,0.049,tests performed
6796,ITA,Italy,01Mar,1128,240,29,8,18.656,3.969,0.48,0.132,21127.0,2466.0,0.349,0.040999999999999995,tests performed
6797,ITA,Italy,02Mar,1689,561,35,6,27.935,9.279,0.579,0.099,23345.0,2218.0,0.386,0.037000000000000005,tests performed
6798,ITA,Italy,03Mar,2036,347,52,17,33.674,5.739,0.86,0.281,25856.0,2511.0,0.428,0.042,tests performed
6799,ITA,Italy,04Mar,2502,466,80,28,41.381,7.707000000000001,1.3230000000000002,0.46299999999999997,29837.0,3981.0,0.493,0.066,tests performed
6800,ITA,Italy,05Mar,3089,587,107,27,51.09,9.709,1.77,0.447,32362.0,2525.0,0.535,0.042,tests performed
6801,ITA,Italy,06Mar,3858,769,148,41,63.809,12.719000000000001,2.448,0.6779999999999999,36359.0,3997.0,0.601,0.066,tests performed
6802,ITA,Italy,07Mar,4636,778,197,49,76.676,12.868,3.258,0.81,42062.0,5703.0,0.696,0.094,tests performed
6803,ITA,Italy,08Mar,5883,1247,233,36,97.301,20.625,3.8539999999999996,0.595,49937.0,7875.0,0.826,0.13,tests performed
6804,ITA,Italy,09Mar,7375,1492,366,133,121.978,24.677,6.053,2.2,53826.0,3889.0,0.89,0.064,tests performed
6805,ITA,Italy,10Mar,9172,1797,464,98,151.69899999999998,29.721,7.6739999999999995,1.621,60761.0,6935.0,1.005,0.115,tests performed
6806,ITA,Italy,11Mar,10149,977,631,167,167.858,16.159000000000002,10.436,2.762,73154.0,12393.0,1.21,0.205,tests performed
6807,ITA,Italy,12Mar,12462,2313,827,196,206.114,38.256,13.677999999999999,3.242,86011.0,12857.0,1.423,0.213,tests performed
6808,ITA,Italy,13Mar,15113,2651,1016,189,249.959,43.846000000000004,16.804000000000002,3.1260000000000003,97488.0,11477.0,1.6119999999999999,0.19,tests performed
6809,ITA,Italy,14Mar,17660,2547,1268,252,292.085,42.126000000000005,20.971999999999998,4.168,109170.0,11682.0,1.806,0.193,tests performed
6810,ITA,Italy,15Mar,21157,3497,1441,173,349.923,57.838,23.833000000000002,2.861,124899.0,15729.0,2.066,0.26,tests performed
6811,ITA,Italy,16Mar,23980,2823,1811,370,396.61400000000003,46.691,29.953000000000003,6.12,137962.0,13063.0,2.282,0.21600000000000003,tests performed
6812,ITA,Italy,17Mar,27980,4000,2158,347,462.77099999999996,66.157,35.692,5.739,148657.0,10695.0,2.459,0.177,tests performed
6813,ITA,Italy,18Mar,31506,3526,2505,347,521.089,58.318000000000005,41.431000000000004,5.739,165541.0,16884.0,2.738,0.27899999999999997,tests performed
6814,ITA,Italy,19Mar,35713,4207,2978,473,590.67,69.581,49.254,7.8229999999999995,182777.0,17236.0,3.023,0.285,tests performed
6815,ITA,Italy,20Mar,41035,5322,3407,429,678.693,88.022,56.35,7.095,206886.0,24109.0,3.4219999999999997,0.39899999999999997,tests performed
6816,ITA,Italy,21Mar,47021,5986,4032,625,777.697,99.005,66.687,10.337,233222.0,26336.0,3.8569999999999998,0.436,tests performed
6817,ITA,Italy,22Mar,53578,6557,4827,795,886.1460000000001,108.449,79.835,13.149000000000001,258402.0,25180.0,4.274,0.41600000000000004,tests performed
6818,ITA,Italy,23Mar,59138,5560,5476,649,978.105,91.959,90.57,10.734000000000002,275468.0,17066.0,4.556,0.282,tests performed
6819,ITA,Italy,24Mar,63927,4789,6077,601,1057.312,79.207,100.51,9.94,296964.0,21496.0,4.912,0.35600000000000004,tests performed
6820,ITA,Italy,25Mar,69176,5249,6820,743,1144.127,86.815,112.79799999999999,12.289000000000001,324445.0,27481.0,5.3660000000000005,0.455,tests performed
6821,ITA,Italy,26Mar,74386,5210,7505,685,1230.297,86.17,124.12799999999999,11.329,361060.0,36615.0,5.972,0.606,tests performed
6822,ITA,Italy,27Mar,80539,6153,8165,660,1332.0639999999999,101.76700000000001,135.04399999999998,10.915999999999999,394079.0,33019.0,6.518,0.546,tests performed
6823,ITA,Italy,28Mar,86498,5959,9136,971,1430.622,98.55799999999999,151.10399999999998,16.06,429526.0,35447.0,7.104,0.586,tests performed
6824,ITA,Italy,29Mar,92472,5974,10023,887,1529.4279999999999,98.806,165.774,14.67,454030.0,24504.0,7.5089999999999995,0.405,tests performed
6825,ITA,Italy,30Mar,97689,5217,10781,758,1615.714,86.286,178.31099999999998,12.537,477359.0,23329.0,7.895,0.386,tests performed
6826,ITA,Italy,31Mar,101739,4050,11591,810,1682.6979999999999,66.984,191.708,13.397,506968.0,29609.0,8.385,0.49,tests performed
6827,ITA,Italy,01Apr,105792,4053,12430,839,1749.7320000000002,67.03399999999999,205.584,13.877,541423.0,34455.0,8.955,0.57,tests performed
